[2024-10-26T03:26:24.616+0530][0.007s][debug][gc,heap] Minimum heap 2147483648  Initial heap 2147483648  Maximum heap 2147483648
[2024-10-26T03:26:24.616+0530][0.007s][info ][gc,init] Initializing The Z Garbage Collector
[2024-10-26T03:26:24.616+0530][0.007s][info ][gc,init] Version: 23+37-2369 (release)
[2024-10-26T03:26:24.617+0530][0.008s][info ][gc,init] NUMA Support: Disabled
[2024-10-26T03:26:24.617+0530][0.008s][info ][gc,init] CPUs: 16 total, 16 available
[2024-10-26T03:26:24.617+0530][0.008s][info ][gc,init] Memory: 16153M
[2024-10-26T03:26:24.617+0530][0.008s][info ][gc,init] Large Page Support: Disabled
[2024-10-26T03:26:24.617+0530][0.008s][info ][gc,init] Address Space Type: Contiguous/Unrestricted/Complete
[2024-10-26T03:26:24.617+0530][0.008s][info ][gc,init] Address Space Size: 32768M
[2024-10-26T03:26:24.618+0530][0.009s][info ][gc,init] Min Capacity: 2048M
[2024-10-26T03:26:24.618+0530][0.009s][info ][gc,init] Initial Capacity: 2048M
[2024-10-26T03:26:24.618+0530][0.009s][info ][gc,init] Max Capacity: 2048M
[2024-10-26T03:26:24.618+0530][0.009s][info ][gc,init] Soft Max Capacity: 2048M
[2024-10-26T03:26:24.618+0530][0.009s][info ][gc,init] Medium Page Size: 32M
[2024-10-26T03:26:24.618+0530][0.009s][info ][gc,init] Pre-touch: Disabled
[2024-10-26T03:26:24.618+0530][0.009s][info ][gc,init] Uncommit: Implicitly Disabled (-Xms equals -Xmx)
[2024-10-26T03:26:24.618+0530][0.009s][info ][gc,init] GC Workers for Old Generation: 4 (dynamic)
[2024-10-26T03:26:24.618+0530][0.009s][debug][gc,marking] Expanding mark stack space: 0M->32M
[2024-10-26T03:26:24.618+0530][0.009s][info ][gc,init   ] GC Workers for Young Generation: 4 (dynamic)
[2024-10-26T03:26:24.618+0530][0.009s][debug][gc,marking] Expanding mark stack space: 0M->32M
[2024-10-26T03:26:24.654+0530][0.045s][info ][gc,init   ] GC Workers Max: 4 (dynamic)
[2024-10-26T03:26:24.655+0530][0.046s][info ][gc,init   ] Runtime Workers: 10
[2024-10-26T03:26:24.655+0530][0.046s][info ][gc        ] Using The Z Garbage Collector
[2024-10-26T03:26:24.669+0530][0.060s][info ][gc,metaspace] CDS archive(s) mapped at: [0x000002a0d3000000-0x000002a0d3d70000-0x000002a0d3d70000), size 14090240, SharedBaseAddress: 0x000002a0d3000000, ArchiveRelocationMode: 1.
[2024-10-26T03:26:24.669+0530][0.060s][info ][gc,metaspace] Compressed class space mapped at: 0x000002a0d4000000-0x000002a114000000, reserved size: 1073741824
[2024-10-26T03:26:24.669+0530][0.060s][info ][gc,metaspace] Narrow klass base: 0x000002a0d3000000, Narrow klass shift: 0, Narrow klass range: 0x41000000
[2024-10-26T03:26:24.678+0530][0.069s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.unsignedHashCode (0x0000029cc1fd0008) [0x0000029cc1fd0140, 0x0000029cc1fd0360] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.678+0530][0.069s][debug][gc,nmethod  ] Rebuilding NMethod Table: 0->1024 entries, 0(0%->0%) registered, 0(0%->0%) unregistered
[2024-10-26T03:26:24.678+0530][0.069s][debug][gc,nmethod  ] Register NMethod: java.lang.Object.<init> (0x0000029cc1fd0388) [0x0000029cc1fd04a0, 0x0000029cc1fd05a8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.678+0530][0.069s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.getReferenceVolatile (0x0000029cc9b60008) [0x0000029cc9b60140, 0x0000029cc9b60578] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.678+0530][0.069s][debug][gc,nmethod  ] Register NMethod: java.lang.String.isLatin1 (0x0000029cc1fd0688) [0x0000029cc1fd07a0, 0x0000029cc1fd0910] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.678+0530][0.069s][debug][gc,nmethod  ] Register NMethod: java.lang.Byte.toUnsignedInt (0x0000029cc1fd0988) [0x0000029cc1fd0aa0, 0x0000029cc1fd0b98] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.678+0530][0.069s][debug][gc,nmethod  ] Register NMethod: java.lang.String.hashCode (0x0000029cc1fd0c88) [0x0000029cc1fd0e00, 0x0000029cc1fd1288] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.679+0530][0.069s][debug][gc,nmethod  ] Register NMethod: java.lang.Math.floorMod (0x0000029cc1fd1308) [0x0000029cc1fd1420, 0x0000029cc1fd15c0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.679+0530][0.070s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN.probe (0x0000029cc1fd1608) [0x0000029cc1fd1780, 0x0000029cc1fd1d58] Compiler: c1, Barriers: 4, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.679+0530][0.070s][debug][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.equals (0x0000029cc1fd1d88) [0x0000029cc1fd1ec0, 0x0000029cc1fd2140] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.679+0530][0.070s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.vectorizedHashCode (0x0000029cc1fd2188) [0x0000029cc1fd2400, 0x0000029cc1fd3378] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 2, NonImmediateOops: No
